All Job Skills,Count,% All,Remote Job Skills,Count,% Remote,Non-Remote Job Skills,Count,% Non-Remote
Collaboration,2520,57.3%,Collaboration,768,61.4%,Collaboration,1752,55.7%
Computer Science,1890,43.0%,Management,595,47.6%,Computer Science,1394,44.3%
Management,1870,42.5%,Communication,537,42.9%,Software Development,1296,41.2%
Software Development,1814,41.3%,Cloud Computing,527,42.1%,Software Engineering,1295,41.2%
Cloud Computing,1744,39.7%,Software Development,518,41.4%,Management,1275,40.5%
Communication,1719,39.1%,Computer Science,496,39.6%,Cloud Computing,1217,38.7%
Software Engineering,1706,38.8%,Agile,438,35.0%,Python,1197,38.1%
Python,1610,36.6%,Java,420,33.6%,Communication,1182,37.6%
Java,1583,36.0%,Python,413,33.0%,Recruiting,1178,37.5%
Recruiting,1502,34.2%,Software Engineering,411,32.9%,Java,1163,37.0%
Agile,1492,33.9%,Finance,411,32.9%,Agile,1054,33.5%
Law,1406,32.0%,Law,404,32.3%,Law,1002,31.9%
Finance,1398,31.8%,Continuous Integration,398,31.8%,Finance,987,31.4%
Testing,1314,29.9%,Artificial Intelligence,376,30.1%,Testing,948,30.1%
Continuous Integration,1235,28.1%,Problem Solving,367,29.3%,Training,937,29.8%
Innovation,1231,28.0%,Testing,366,29.3%,Innovation,888,28.2%
Artificial Intelligence,1139,25.9%,Continuous Delivery,365,29.2%,Continuous Integration,837,26.6%
Mentorship,1131,25.7%,Mentorship,361,28.9%,Amazon Web Services,776,24.7%
Training,1125,25.6%,Innovation,343,27.4%,Mentorship,770,24.5%
Amazon Web Services,1113,25.3%,Amazon Web Services,337,26.9%,Artificial Intelligence,763,24.3%
Problem Solving,1081,24.6%,Conflict Resolution,336,26.9%,C++,734,23.3%
Continuous Delivery,1077,24.5%,Recruiting,324,25.9%,Problem Solving,714,22.7%
Conflict Resolution,1031,23.5%,FOCUS,290,23.2%,Continuous Delivery,712,22.6%
Insurance,951,21.6%,Kubernetes,279,22.3%,Conflict Resolution,695,22.1%
FOCUS,944,21.5%,Database,278,22.2%,Insurance,685,21.8%
Database,897,20.4%,SQL,270,21.6%,SAP BASIS,673,21.4%
SAP BASIS,876,19.9%,Insurance,266,21.3%,Health Care,672,21.4%
Debugging,870,19.8%,Regulatory Compliance,266,21.3%,FOCUS,654,20.8%
C++,863,19.6%,Microsoft Azure,261,20.9%,Debugging,629,20.0%
JavaScript,838,19.1%,Accessibility,261,20.9%,Database,619,19.7%
Health Care,830,18.9%,Leadership,256,20.5%,JavaScript,591,18.8%
SQL,815,18.5%,DevOps,255,20.4%,Life Insurance,588,18.7%
Kubernetes,797,18.1%,Microservices,251,20.1%,SQL,545,17.3%
Life Insurance,776,17.7%,JavaScript,247,19.7%,Legal,529,16.8%
Microsoft Azure,750,17.1%,Debugging,241,19.3%,Kubernetes,518,16.5%
Machine Learning (ML),743,16.9%,Docker,241,19.3%,Machine Learning (ML),517,16.4%
Regulatory Compliance,734,16.7%,Analytical Skill,238,19.0%,Software Design,502,16.0%
Leadership,715,16.3%,Machine Learning (ML),226,18.1%,Microsoft Azure,489,15.5%
Software Design,672,15.3%,Military,218,17.4%,Regulatory Compliance,468,14.9%
React.js,661,15.0%,React.js,215,17.2%,Git,461,14.7%
Microservices,657,14.9%,Google Cloud Platform,203,16.2%,Leadership,459,14.6%
Legal,644,14.6%,Scalability,203,16.2%,Algorithms,458,14.6%
Documentation,640,14.6%,SAP BASIS,203,16.2%,Linux,456,14.5%
DevOps,637,14.5%,Workflow,197,15.7%,React.js,446,14.2%
Docker,636,14.5%,Documentation,195,15.6%,Documentation,445,14.1%
Git,632,14.4%,Google Cloud,192,15.3%,C#,441,14.0%
Workflow,628,14.3%,User Experience,191,15.3%,C,440,14.0%
Algorithms,604,13.7%,Spring Framework,191,15.3%,Security Clearance,432,13.7%
Scalability,602,13.7%,Application Development,189,15.1%,Workflow,431,13.7%
Military,578,13.1%,Training,188,15.0%,Microservices,406,12.9%
Linux,570,13.0%,Life Insurance,188,15.0%,Scalability,399,12.7%
Analytical Skill,568,12.9%,Reporting,174,13.9%,Docker,395,12.6%
C#,568,12.9%,Apache Kafka,173,13.8%,Computer Hardware,390,12.4%
Security Clearance,540,12.3%,Git,171,13.7%,DevOps,382,12.1%
Software Development Methodology,536,12.2%,Software Design,170,13.6%,Software Development Methodology,369,11.7%
Reporting,535,12.2%,Software Development Methodology,167,13.3%,Programming Languages,365,11.6%
C,518,11.8%,Scrum,162,12.9%,Reporting,361,11.5%
Spring Framework,506,11.5%,API,161,12.9%,Military,360,11.4%
Application Development,505,11.5%,Health Care,158,12.6%,Real-time,359,11.4%
API,492,11.2%,RESTful,152,12.2%,Banking,358,11.4%
Real-time,490,11.1%,Computer Engineering,151,12.1%,Coaching,349,11.1%
Google Cloud Platform,486,11.1%,IT Management,147,11.8%,Network,344,10.9%
Computer Hardware,482,11.0%,Algorithms,146,11.7%,Writing,332,10.6%
Writing,476,10.8%,UI,146,11.7%,API,331,10.5%
Google Cloud,475,10.8%,Information Systems,145,11.6%,Analytical Skill,330,10.5%
User Experience,469,10.7%,Writing,144,11.5%,Research,327,10.4%
Accessibility,465,10.6%,Jenkins,144,11.5%,Privacy,324,10.3%
RESTful,464,10.6%,Project Management,140,11.2%,Scripting,321,10.2%
Research,460,10.5%,Research,133,10.6%,Application Development,316,10.0%
Programming Languages,457,10.4%,Privacy,132,10.6%,Spring Framework,315,10.0%
Privacy,456,10.4%,Continuous Integration and Development,132,10.6%,RESTful,312,9.9%
Scrum,455,10.4%,Real-time,131,10.5%,Systems Design,308,9.8%
Computer Engineering,446,10.1%,Optimization,130,10.4%,Quality Assurance,300,9.5%
UI,439,10.0%,C++,129,10.3%,TypeScript,295,9.4%
Coaching,437,9.9%,C#,127,10.2%,Computer Engineering,295,9.4%
Banking,433,9.8%,Interfaces,127,10.2%,Scrum,293,9.3%
Scripting,430,9.8%,Value Engineering,127,10.2%,.NET,293,9.3%
Apache Kafka,427,9.7%,English,125,10.0%,UI,293,9.3%
Network,426,9.7%,Version Control,124,9.9%,Operating Systems,287,9.1%
IT Management,418,9.5%,Orchestration,123,9.8%,Google Cloud Platform,283,9.0%
Systems Design,405,9.2%,Web Applications,123,9.8%,Mathematics,283,9.0%
Version Control,405,9.2%,JIRA,122,9.8%,Google Cloud,283,9.0%
Quality Assurance,404,9.2%,GitHub,120,9.6%,Version Control,281,8.9%
Jenkins,404,9.2%,NoSQL,120,9.6%,Financial Services,279,8.9%
TypeScript,396,9.0%,Automated Testing,118,9.4%,SAFE,278,8.8%
.NET,396,9.0%,Roadmaps,118,9.4%,User Experience,278,8.8%
Automated Testing,395,9.0%,AngularJS,118,9.4%,Automated Testing,277,8.8%
Interfaces,387,8.8%,Performance Tuning,118,9.4%,IT Management,271,8.6%
SAFE,377,8.6%,Legal,115,9.2%,Payments,271,8.6%
Value Engineering,365,8.3%,Cyber Security,115,9.2%,Continuous Improvement,262,8.3%
Optimization,364,8.3%,WCAG,115,9.2%,Jenkins,260,8.3%
Continuous Integration and Development,363,8.3%,Linux,114,9.1%,Interfaces,260,8.3%
AngularJS,352,8.0%,Oracle,113,9.0%,Computer Networking,255,8.1%
Continuous Improvement,351,8.0%,Unit Testing,113,9.0%,Apache Kafka,254,8.1%
Mathematics,350,8.0%,Design Patterns,110,8.8%,Backup,251,8.0%
Orchestration,349,7.9%,Scripting,109,8.7%,Object-Oriented Programming,249,7.9%
Roadmaps,349,7.9%,Security Clearance,108,8.6%,Value Engineering,238,7.6%
Oracle,343,7.8%,Assistive Technology,107,8.6%,Optimization,234,7.4%
JIRA,342,7.8%,Web Content,106,8.5%,AngularJS,234,7.4%
Financial Services,342,7.8%,Generative Artificial Intelligence (AI),106,8.5%,Sales,233,7.4%
Computer Networking,341,7.8%,Exceed,104,8.3%,Continuous Integration and Development,231,7.3%
Operating Systems,335,7.6%,Quality Assurance,104,8.3%,Roadmaps,231,7.3%
Unit Testing,335,7.6%,Node.js,103,8.2%,Oracle,230,7.3%
Payments,333,7.6%,.NET,103,8.2%,Orchestration,226,7.2%
NoSQL,330,7.5%,TypeScript,101,8.1%,Accountability,225,7.2%
Object-Oriented Programming,326,7.4%,Retail,101,8.1%,Information Technology,224,7.1%
GitHub,325,7.4%,Terraform,101,8.1%,Cascading Style Sheets,223,7.1%
Web Applications,322,7.3%,Software Asset Management,100,8.0%,Unit Testing,222,7.1%
Design Patterns,313,7.1%,SAFE,99,7.9%,Analytics,220,7.0%
Analytics,311,7.1%,Emerging Technologies,99,7.9%,JIRA,220,7.0%
Terraform,309,7.0%,IaaS,98,7.8%,Science,218,6.9%
Cascading Style Sheets,304,6.9%,Systems Design,97,7.8%,Marketing,210,6.7%
Performance Tuning,301,6.8%,PostgreSQL,93,7.4%,NoSQL,210,6.7%
Sales,299,6.8%,Messaging,92,7.4%,Terraform,208,6.6%
Project Management,298,6.8%,Computer Hardware,92,7.4%,Integrated Circuit,207,6.6%
Node.js,296,6.7%,Inventory,92,7.4%,GitHub,205,6.5%
Data Structure,294,6.7%,Programming Languages,92,7.4%,Storage,205,6.5%
PostgreSQL,293,6.7%,Analytics,91,7.3%,Data Structure,204,6.5%
Emerging Technologies,289,6.6%,Data Structure,90,7.2%,Accessibility,204,6.5%
Science,285,6.5%,Continuous Improvement,89,7.1%,Professional Development,203,6.5%
Information Systems,281,6.4%,Coaching,88,7.0%,Design Patterns,203,6.5%
Information Technology,278,6.3%,Computer Networking,86,6.9%,Electrical Engineering,202,6.4%
Accountability,276,6.3%,Software Architecture,84,6.7%,Embedded Systems,202,6.4%
HTML,274,6.2%,Promotions,83,6.6%,HTML,201,6.4%
Partnership,270,6.1%,Partnership,82,6.6%,PostgreSQL,200,6.4%
Open Source,267,6.1%,Network,82,6.6%,Web Applications,199,6.3%
Storage,266,6.1%,Cascading Style Sheets,81,6.5%,Open Source,197,6.3%
IaaS,266,6.1%,Apache Spark,81,6.5%,Node.js,193,6.1%
Cyber Security,264,6.0%,Transform,80,6.4%,IC,193,6.1%
Evaluation,262,6.0%,Extract,80,6.4%,Evaluation,192,6.1%
Backup,259,5.9%,Load,80,6.4%,Internal Communications,191,6.1%
Marketing,255,5.8%,MongoDB,79,6.3%,Emerging Technologies,190,6.0%
Software Architecture,255,5.8%,C,78,6.2%,DoD,189,6.0%
Embedded Systems,252,5.7%,GitLab,78,6.2%,Startups,189,6.0%
Attention To Detail,244,5.6%,Object-Oriented Programming,77,6.2%,Taxes,188,6.0%
MongoDB,241,5.5%,Test-driven Development,77,6.2%,Partnership,188,6.0%
Professional Development,239,5.4%,Data Processing,77,6.2%,Customer Facing,186,5.9%
Generative Artificial Intelligence (AI),234,5.3%,Data Science,77,6.2%,Performance Tuning,183,5.8%
Taxes,234,5.3%,Electronic Commerce,77,6.2%,Attention To Detail,181,5.8%
Decision-making,233,5.3%,Business Process,77,6.2%,Corporate Banking,180,5.7%
Customer Facing,231,5.3%,Decision-making,77,6.2%,Asset Management,178,5.7%
Streaming,231,5.3%,Banking,75,6.0%,Microsoft,173,5.5%
GitLab,231,5.3%,Streaming,75,6.0%,Investment Banking,173,5.5%
Electrical Engineering,227,5.2%,HTML,73,5.8%,Software Architecture,171,5.4%
Integrated Circuit,227,5.2%,Customer Experience,72,5.8%,IaaS,168,5.3%
Data Analysis,223,5.1%,Open Source,70,5.6%,Systems Engineering,164,5.2%
DoD,220,5.0%,Evaluation,70,5.6%,Payroll,163,5.2%
Startups,217,4.9%,Product Management,70,5.6%,MongoDB,162,5.2%
Apache Spark,216,4.9%,Operational Excellence,69,5.5%,Productivity,161,5.1%
Productivity,215,4.9%,Deep Learning,69,5.5%,Product Development,161,5.1%
Art,214,4.9%,GraphQL,69,5.5%,Project Management,158,5.0%
Jersey,214,4.9%,Microsoft SQL Server,68,5.4%,Data Analysis,157,5.0%
IC,211,4.8%,Jersey,67,5.4%,Streaming,156,5.0%
Internal Communications,209,4.8%,Science,67,5.4%,Decision-making,156,5.0%
Product Development,209,4.8%,Mathematics,67,5.4%,GitLab,153,4.9%
Messaging,207,4.7%,Kickstart,66,5.3%,FSA,151,4.8%
Test-driven Development,206,4.7%,Sales,66,5.3%,Amazon S3,149,4.7%
English,205,4.7%,Data Analysis,66,5.3%,Art,149,4.7%
Investment Banking,204,4.6%,Elasticsearch,66,5.3%,Cyber Security,149,4.7%
Retail,202,4.6%,J2EE,65,5.2%,Jersey,147,4.7%
Teamwork,200,4.5%,Epic,65,5.2%,Microsoft Windows,143,4.5%
Customer Experience,196,4.5%,Art,65,5.2%,Systems Architecture,142,4.5%
Web Services,196,4.5%,PyTorch,64,5.1%,Energy,142,4.5%
Microsoft,196,4.5%,Teamwork,63,5.0%,Unix,141,4.5%
